id	priority	category	file	line	col	source	zh_cn	context	notes
EDIT_00001	low	artifact	lib/edit/a_info.txt	53	N:name	of Galadriel	加拉德瑞尔的	N:1:of Galadriel	《魔戒》精灵女王
EDIT_00002	low	artifact	lib/edit/a_info.txt	59	E	The phial wells with clear light...	玻璃瓶涌出清澈的光芒……	E:The phial wells with clear light...	激活文本
EDIT_00003	low	artifact	lib/edit/a_info.txt	60	D	A small crystal phial, with the light of Earendil's Star contained inside.	一个小水晶瓶，里面装着埃兰迪尔之星的光芒。	D:A small crystal phial, with the light of Earendil's Star contained inside.	物品描述
EDIT_00004	low	artifact	lib/edit/a_info.txt	61	D	Its light is imperishable, and near it darkness cannot endure.	它的光芒是不朽的，在它附近，黑暗无法留存。	D:Its light is imperishable, and near it darkness cannot endure.	物品描述
EDIT_00005	low	artifact	lib/edit/a_info.txt	63	N:name	of Elendil	埃兰迪尔的	N:2:of Elendil	《魔戒》人类国王
EDIT_00006	low	artifact	lib/edit/a_info.txt	69	E	The star shines brightly...	星辰闪耀着明亮的光芒……	E:The star shines brightly...	激活文本
EDIT_00007	low	artifact	lib/edit/a_info.txt	70	D	The shining Star of the West, a famed heirloom of Elendil's house.	闪耀的西方之星，埃兰迪尔家族著名的传家宝。	D:The shining Star of the West, a famed heirloom of Elendil's house.	物品描述
EDIT_00008	low	artifact	lib/edit/a_info.txt	72	N:name	of Judgement	审判之	N:3:of Judgement	护身符名称
EDIT_00009	low	artifact	lib/edit/a_info.txt	79	E	The Jewel flashes bright red!	宝石闪烁着明亮的红光！	E:The Jewel flashes bright red!	激活文本
EDIT_00010	low	artifact	lib/edit/a_info.txt	81	N:name	of Carlammas	卡拉马斯之	N:4:of Carlammas	护身符名称
EDIT_00011	low	artifact	lib/edit/a_info.txt	86	E	The amulet lets out a shrill wail...	护身符发出尖锐的嚎叫声……	E:The amulet lets out a shrill wail...	激活文本
EDIT_00012	low	artifact	lib/edit/a_info.txt	87	D	A fiery circle of bronze, with mighty spells to ward off evil.	一个燃烧的青铜圆环，带有驱逐邪恶的强大法术。	D:A fiery circle of bronze, with mighty spells to ward off evil.	物品描述
EDIT_00013	low	artifact	lib/edit/a_info.txt	89	N:name	of Ingwe	英格威的	N:5:of Ingwe	《精灵宝钻》凡雅精灵至高王
EDIT_00014	low	artifact	lib/edit/a_info.txt	96	E	The amulet floods the area with goodness...	护身符使周围区域充满了善良的力量……	E:The amulet floods the area with goodness...	激活文本
EDIT_00015	low	artifact	lib/edit/a_info.txt	97	D	The ancient heirloom of Ingwe, high lord of the Vanyar, against whom nothing	凡雅精灵至高王英格威的古老传家宝，任何邪恶事物	D:The ancient heirloom of Ingwe, high lord of the Vanyar, against whom nothing	物品描述多行拼接
EDIT_00016	low	artifact	lib/edit/a_info.txt	98	D	of evil could stand.	都无法与之抗衡。	D:of evil could stand.	物品描述多行拼接
EDIT_00017	low	artifact	lib/edit/a_info.txt	100	N:name	Necklace of the Dwarves	矮人项链	N:6:Necklace of the Dwarves	诺格莱迷尔（Nauglamir）
EDIT_00018	low	artifact	lib/edit/a_info.txt	105	D	The Nauglamir; a carencet of gold set with a multitude of shining gems of	诺格莱迷尔；一条镶嵌着无数闪耀的维林诺宝石的金项链，	D:The Nauglamir; a carencet of gold set with a multitude of shining gems of	物品描述多行拼接
EDIT_00019	low	artifact	lib/edit/a_info.txt	106	D	Valinor, accenting a radiant Silmaril. The sturdy spirits of Dwarvish	更衬托出一颗光芒四射的精灵宝钻。曾在山脉铁匠铺中长期劳作的	D:Valinor, accenting a radiant Silmaril. The sturdy spirits of Dwarvish	物品描述多行拼接
EDIT_00020	low	artifact	lib/edit/a_info.txt	107	D	craftsmen who labored long in mountain smithies lie within it still, and	矮人工匠们坚韧的灵魂依然留存于其中，而	D:craftsmen who labored long in mountain smithies lie within it still, and	物品描述多行拼接
EDIT_00021	low	artifact	lib/edit/a_info.txt	108	D	as gossamer it rests upon the bearer.	它戴在佩戴者身上却轻如游丝。	D:as gossamer it rests upon the bearer.	物品描述多行拼接
EDIT_00022	low	artifact	lib/edit/a_info.txt	110	N:name	of Edison	爱迪生的	N:7:of Edison	发明家爱迪生
EDIT_00023	low	artifact	lib/edit/a_info.txt	115	D	Thomas Edison, the "Wizard of Menlo Park," patented 1,093	托马斯·爱迪生，“门洛帕克的巫师”，拥有 1,093 项专利，	D:Thomas Edison, the "Wizard of Menlo Park," patented 1,093	物品描述多行拼接
EDIT_00024	low	artifact	lib/edit/a_info.txt	116	D	invention including the incandescent lightbulb.	其中包括白炽灯泡。	D:invention including the incandescent lightbulb.	物品描述多行拼接
EDIT_00025	low	artifact	lib/edit/a_info.txt	118	N:name	'Frakir'	『弗拉基尔』	N:8:'Frakir'	《琥珀志》中梅林的魔法绳索
EDIT_00026	low	artifact	lib/edit/a_info.txt	124	E	You order Frakir to strangle your opponent.	你命令弗拉基尔勒住你的对手。	E:You order Frakir to strangle your opponent.	激活文本
EDIT_00027	low	artifact	lib/edit/a_info.txt	126	N:name	of Tulkas	托卡斯的	N:9:of Tulkas	维拉托卡斯
EDIT_00028	low	artifact	lib/edit/a_info.txt	130	D	The treasure of Tulkas, most fleet and wrathful of the Valar.	维拉中最迅捷、最愤怒的托卡斯的宝物。	D:The treasure of Tulkas, most fleet and wrathful of the Valar.	物品描述
EDIT_00029	low	artifact	lib/edit/a_info.txt	132	E	The ring glows brightly...	戒指闪耀着明亮的光芒……	E:The ring glows brightly...	激活文本
EDIT_00030	low	artifact	lib/edit/a_info.txt	136	N:name	of Power (Narya)	力量之 (纳雅)	N:10:of Power (Narya)	火之戒
EDIT_00031	low	artifact	lib/edit/a_info.txt	145	E	The ring glows deep red...	戒指闪耀着深红色的光芒……	E:The ring glows deep red...	激活文本
EDIT_00032	low	artifact	lib/edit/a_info.txt	146	D	The Ring of Fire, set with a ruby that glows like flame. Narya is one	火之戒，镶嵌着一颗如火焰般发光的红宝石。纳雅是	D:The Ring of Fire, set with a ruby that glows like flame. Narya is one	物品描述多行拼接
EDIT_00033	low	artifact	lib/edit/a_info.txt	147	D	of the three Rings of Power created by the Elves and hidden by them from	精灵所铸造并向索伦隐藏的	D:of the three Rings of Power created by the Elves and hidden by them from	物品描述多行拼接
EDIT_00034	low	artifact	lib/edit/a_info.txt	148	D	Sauron.	三枚力量之戒之一。	D:Sauron.	物品描述多行拼接
EDIT_00035	low	artifact	lib/edit/a_info.txt	152	N:name	of Power (Nenya)	力量之 (南雅)	N:11:of Power (Nenya)	水之戒
EDIT_00036	low	artifact	lib/edit/a_info.txt	162	E	The ring glows bright white...	戒指闪耀着明亮的白光……	E:The ring glows bright white...	激活文本
EDIT_00037	low	artifact	lib/edit/a_info.txt	163	D	The Ring of Adamant, with a pure white stone as centerpiece. Nenya is one	精金之戒，镶嵌着一颗纯白色的宝石。南雅是	D:The Ring of Adamant, with a pure white stone as centerpiece. Nenya is one	物品描述多行拼接
EDIT_00038	low	artifact	lib/edit/a_info.txt	164	D	of the three Rings of Power created by the Elves and hidden by them from	精灵所铸造并向索伦隐藏的	D:of the three Rings of Power created by the Elves and hidden by them from	物品描述多行拼接
EDIT_00039	low	artifact	lib/edit/a_info.txt	165	D	Sauron.	三枚力量之戒之一。	D:Sauron.	物品描述多行拼接
EDIT_00040	low	artifact	lib/edit/a_info.txt	169	N:name	of Power (Vilya)	力量之 (维雅)	N:12:of Power (Vilya)	气之戒
EDIT_00041	low	artifact	lib/edit/a_info.txt	179	E	The ring glows deep blue...	戒指闪耀着深蓝色的光芒……	E:The ring glows deep blue...	激活文本
EDIT_00042	low	artifact	lib/edit/a_info.txt	180	D	The Ring of Sapphire, with clear blue gems that shine like stars,	蓝宝石之戒，镶有一颗清澈如星光般闪耀的蓝宝石，	D:The Ring of Sapphire, with clear blue gems that shine like stars,	物品描述多行拼接
EDIT_00043	low	artifact	lib/edit/a_info.txt	181	D	glittering untouchable despite all that Morgoth ever wrought. Vilya is	无论魔苟斯造成怎样的破坏，它都闪耀着不可触犯的光芒。维雅是	D:glittering untouchable despite all that Morgoth ever wrought. Vilya is	物品描述多行拼接
EDIT_00044	low	artifact	lib/edit/a_info.txt	182	D	one of the three Rings of Power created by the Elves and hidden by them	精灵所铸造并向索伦隐藏的	D:one of the three Rings of Power created by the Elves and hidden by them	物品描述多行拼接
EDIT_00045	low	artifact	lib/edit/a_info.txt	183	D	from Sauron.	三枚力量之戒之一。	D:from Sauron.	物品描述多行拼接
EDIT_00046	low	artifact	lib/edit/a_info.txt	187	N:name	of Power (The One Ring)	力量之 (至尊魔戒)	N:13:of Power (The One Ring)	至尊魔戒
EDIT_00047	low	artifact	lib/edit/a_info.txt	201	E	The ring glows intensely black...	戒指闪耀着深邃的黑光……	E:The ring glows intensely black...	激活文本
EDIT_00048	low	artifact	lib/edit/a_info.txt	202	D	"One Ring to rule them all, One Ring to find them, One Ring to bring	“至尊戒，驭众戒；至尊戒，寻众戒；至尊戒，引众戒，	D:"One Ring to rule them all, One Ring to find them, One Ring to bring	物品描述多行拼接
EDIT_00049	low	artifact	lib/edit/a_info.txt	203	D	them all and in the darkness bind them." Made of massive gold, and	禁锢众戒黑暗中。”由厚重的纯金打造，并	D:them all and in the darkness bind them." Made of massive gold, and	物品描述多行拼接
EDIT_00050	low	artifact	lib/edit/a_info.txt	204	D	set with runes in the foul speech of Mordor, Isildur's Bane possesses	铭刻着用邪恶的魔多语写成的符文，这枚“埃西铎的克星”拥有	D:set with runes in the foul speech of Mordor, Isildur's Bane possesses	物品描述多行拼接
EDIT_00051	low	artifact	lib/edit/a_info.txt	205	D	powers so great that it inevitably twists and masters any earthly being	极其强大的力量，它不可避免地会扭曲并控制任何佩戴它的	D:powers so great that it inevitably twists and masters any earthly being	物品描述多行拼接
EDIT_00052	low	artifact	lib/edit/a_info.txt	206	D	who wears it.	凡间生物。	D:who wears it.	物品描述多行拼接
EDIT_00053	low	artifact	lib/edit/a_info.txt	208	N:name	of Cower (Darnya)	懦弱之 (达雅)	N:14:of Cower (Darnya)	恶搞道具：懦弱之戒
EDIT_00054	low	artifact	lib/edit/a_info.txt	216	E	The ring glows intensely black...	戒指闪耀着深邃的黑光……	E:The ring glows intensely black...	激活文本
EDIT_00055	low	artifact	lib/edit/a_info.txt	217	D	Adorned, showy gilding,	华丽、炫目的镀金，	D:Adorned, showy gilding,	物品描述多行拼接
